name,comments
Apple Turnovers,"['           These are my changes and 5 stars!!!Use only 2 or 3 apples, there will be leftover filling. Can skip the water bath. 3x the cornstarch/water mix or until well coated and thick. In place of cinnamon use pumpkin pie spice. Add an egg wash before going in the oven. ', '           These turnovers were amazingly delicious! So fluffy and not too sweet.  I added a little lime to the glaze and sprinkled some pecans. I’m definitely, making them again. ', '           I love this recipe, it was so easy to make. I shared it with my daughter and I think she will love it just as well. Next time I am gonna try to add water to the edge before I seal it with a fork as it popped open and the Yummy sauce ran out as you can see in the picture. Also, you will notice mine are not rectangle as I bought puff pastry shells...oops! but I just rolled them out and made them work. I had some left over apples and made some single serving pies (in upper Left corner) they were just as Yummy!! Thanks for the wonderful recipe. ', '          Too many apples I had enough filling left over to fill another two or three. They are delicious, my husband loved them. Oh and I added some raisins while cooking the apples. ', ""          I've made these apple turnovers several times over the past few years and they always taste incredible. It is difficult sometimes to assemble the pastry and pinch it around the apple mixture without it oozing out. Regardless, it is my mom's favorite and I make it every year for Christmas morning. Also I veganize it by using Earth Balance butter sticks instead of regular butter. Delicious! "", '          These are EXCELLENT, and I make them often. They taste even better than the ones you can buy from an apple orchard farm bakery.  The only changes I make are:  I use golden delicious apples because they are sweeter.  I dice the apples into very small cubes. I cook the mixture way longer than 2 minutes so that the apples get really soft.   I use less brown sugar; and DEFINITELY use parchment paper because it does make a mess!  Also make sure to use the glaze because it makes it even more delicious! ', ""          Oh my goodness, were these easy. I'm not the best cook so I can say with confidence these are foolproof. I didn't change a thing, except to take them out of the oven 5 minutes early. I'd say check them after 20 minutes or you risk over browning. Depends on your oven and how far they are from the heating element. I baked them on convection. Will definitely make again for my morning women's group. "", '           I made it simple - I used cherry pie filling.  My only complaint is that the squares don’t hold enough filling. ', '          Easy to make and delicious when using Careme all butter puff frozen pastry. ']"
Apple Crisp - Perfect and Easy,"[""           Loved this recipe. So easy and my family all love it and say it's the best apple crisp ever. I  wouldn't change a thing. Perfect as is. "", '          I love it, simple, quick and oh so good. will be making again and again. ', '          Great recipe but I used brown sugar and less and CERTAINLY no need for salt.Add half oats as well as a change ', '          This was delicious.  I changed the sugar to 1/4 cup sugar and 1/4 cup dark brown sugar.  Plenty sweet.  Also, added one bag of instant oatmeal.  Yummy! ', '          Loved it added more apples than suggested and added oats. ', '          Easy apple crisp recipe which I was I was looking for.  I did add 3 cups of apples, rather than 2 1/2, but followed the remaining ingredients.  It turned out exactly as I hoped.  Very good recipe! ', '           It was quick and delicious. I’m making it again this evening but adding more apples and reducing the sugar ', '          Very good and simple. I added 1/2 cup sugar and t cinnamon to apples and 1/2 cup oatmeal to topping. ', '          this is so easy and the best recipe yet! family loves it . ']"
The Best Caramel Apples,"[""          So, I meant to follow another person who reviewed by cutting the corn syrup to 3/4 cup. I forgot and used a cup. It is not a pleasant taste. It's thin, and whilst the apples look great I am not entirely happy with the taste... It's a bit sick tasting and the color is very light vs a deep rich carmel color. I will try it again although I WILL use less corn syrup and I will use dark corn syrup... hope it works out better. Also don't skip the taking the wax off the apples. Not entirely impressed . "", '           I love this recipe. The directions were simple & very easy to follow.  I cut the recipe in half as I made this for my husband.    My apples are a little messy so I guess I have to work on my ""appeal"" factor.  ❤️❤️☺️ ', '           Read the reviews before trying! They are super helpful.This has been my third attempt at a caramel apple recipe and they turned out great. I used white sugar instead of brown, and I also cut down the corn syrup to 3/4 cup.It covered 10 small/medium Granny Smith apples, and can easily cover another 10 if I had more apples Lol I poured my leftovers into whatever silicone molds I had. The taste is fantasticThey were oily once set, but i’m sure less butter would do the trick ', '          Carmel just slid off ', '          Quadrupled the recipe and made 30 apples. This caramel was beautiful, smooth and had a perfect texture and flavor. Covered apples well and set up quickly. Will definitely make again. ', '          This recipe was delicious! It was easy and coated the apples perfectly. I think it may cover a few more apples than indicated. I made them with my grandsons and since my daughter-in-law didn’t have a candy thermometer as soon as it started boiling  I had her help me check the temp using the cold water method, checking after 5 min, 5 min, 3 min until it reached the firm ball stage. It was simple and turned out perfectly. Definitely keeping this recipe! ', '          I followed this recipe to the T. The caramel never seemed to get hot enough. When the thermometer showed 280 the caramel was beginning to burn. I dipped apples in and the caramel came right off. I swirled it over and over to fill empty spaces and it finally stayed on. The brown sugar never completely dissolved so I had brown spots on my apples. After the apples cooled down I tried to eat one. The caramel came completely off. The caramel was chewy and stuck to my teeth. I took pictures so I could show girls at work. They all laughed. This recipe is very expensive and I had to throw all the apples away. Very disappointed. ', '          The sauce was way too thin. I cooked it to 248 degrees and even tried waiting a few minutes before dipping. The caramel is a giant puddle under the apple. Not thick like the picture showed. Not a good recipe. ', '           Easier recipe I have done. The caramel actually sticks to the apples and  forms evenly over the apples. It takes timing and skill to add topping with you have ""helpers"" in the kitchen, but I\'m so happy! ']"
Mulligatawny Soup,"['          I make it at leat once a month.  We love it! ', '          fantastic. added extra curry ', '          This is one the greatest soups I have ever tasted. Highly recommend, I will be making this often. ', ""          I made this recipe as is, and have made it over and over again.  It is simple, and flavorful, and I highly recommend it.  If you aren't into curry, or Indian spice flavor profiles then this probably isn't your thing.  Otherwise it is amazing! "", '          this was perfect as written ', '          Excellent! Turned out exactly as described. I doubled the curry powder based on other reviews, yum! PS, I had leftover roasted chicken breast so I cubed that and added the chicken the last few minutes. ', '           Delicious! Used a Granny Smith apple might try a sweeter one next time. I brown the chicken pieces before adding to soup. ', '          Powerfully good! Best soup I’ve ever made.Went by the recipe, but used cooked rotisserie chicken that I added the last 10 minutes of cooking.Wow! ', '          I had never had Mulligatawny soup, but wanted to give it a try.  Boy, am I glad I did!  This is a wonderful soup, I did forget the cream at the end, but I loved it anyway.  This soup will go into the Winter rotation of soups and will be made again and again.  This is very similar to another recipe on Simply Recipes, I took their suggestion and cubed the chicken before adding to the pot, along with some of their instructions for cooking the soup.  I doubled the curry and could have added more for our tastes.  Great soup! ']"
Sauteed Apples,"['          Absolutely delicious as per recipe directions is! Family loved the dish. ', '          I have used this for years as written.  Just be careful not to turn the apples into apple sauce. ', '          Absolutely delicious! Apples need longer than 6-7 minutes if more than one layer in the pan. ', '          Very tasty! ', '          Made these apples and the family loved them.  They said it was as good as Cracker Barrel’s Apples. ', '          As is, this recipe is so good, it made my house smell wonderful!  But I was hoping for a bit more of an apple pie filling taste, so I added a touch more brown sugar, doubled the cinnamon, added maybe 1/8 teaspoon of nutmeg and a pinch of ground cloves.  This was absolutely delicious over vanilla ice cream. ', ""          My husband had his doubts and made sure to verbalize them. I gave him a sample and he had no words. Took the wind right outta his sails. I don't get to do that often so THANK YOU SO MUCH! I put them in the middle of a corn bread loaf that is now cooking.  Again, thank you "", '           FOR THOSE WITH A LOT OF APPLES: I tripled this recipe as I plan to freeze portions for use over the winter months and gift some. I will probably need to make at least four more triple batches to use up the half-bushel of Zestar apples I have. I add an additional half cup of water to a triple batch to make it more saucy for use as a topping for oatmeal, pancakes, pound cake and ice cream. I’ll use less water to make the recipe to use as a side dish with a main. I also added vanilla, nutmeg and salt but that is just personal preference as the recipe as written is absolutely delicious (although I really believe the salt heightens the apple flavor considerably). ', '           It was delicious! ']"
Homemade Apple Cider,"[""          I had a bunch of apples and decided to make apple cider. This recipe was pretty useful for a basic structure of how to make it. I follow my gut alot while cooking and used alot less sugar and alot more cinnamon and no allspice because we didn't have any. I also checked on it alot while simmering and it evaporated very much so I added water along with more sugar and cinnamon. The end result was very delicious apple cider. "", '           This was fantastic!!! We had some apples that were going to go bad, so I quartered them up and followed another cooks idea to toss the whole thing in a crock pot. Simmered away on high for a couple hours, then cruised it to low. Strained it and it was wonderful. I cut back the sugar by 1/4 cup.. and it was perfect! ', ""          Had a bunch of apples sitting around that was going to go bad soon, so I made this! It was way better than the store bought kinds. Amazing! Will definitely make again if I have an excess of apples.And for the person who commented this isn't cider, fresh apple cider is not supposed to be alcoholic. Hard apple cider is fermented from fresh apple cider. Hope this helps! "", ""          Never made cider before but I had a ton on homegrown apples (champagne&yellow delicious) so I decided to try something new.  I had already canned applesauce and froze bags of apples for apple pies.  I did this recipe exactly as written but instead of allspice I added 2 teaspoons ground cloves. I don't like allspice.  The cider was excellent, but it doesn't make that much after cooking for 3 hours. Make sure you have a tight lid and just simmer last 2 hours.  About 2 quarts if you add a little more water the last hour of cooking.  I'll double the recipe next time.  I took the pulp that was left over and made spiced apple butter spread which I canned. I didn't even have to add any additional spice. Great recipe! "", ""          Great taste, and the house smells amazing while it's cooking. Definitely best when warm. I had less apples (but they were big), so I guesstimated the amounts, and was a little heavy-handed with the spices. The resulting cider is a little syrupy, but I assume straining with cheesecloth would have solved that problem (I didn't have any). I'm going to follow another review and use the leftover pulp in apple butter, another new experience. Great winter activity! "", '          Simple, easy and everyone loved it. A little thick but not by much. When I bought the store brand I was surprised to see it taste just like the store bought brands will def make again. ', '          Delicious. ', '          I used Cloves instead of AllSpice because I just did not have any in the spice rack. Turned out tasty. ', '          I just made this recipe, it turned out great, I like it. I’m used to having hot cider made from the packets so I was surprised when it didn’t take as sweet as that, but I really like it. ']"
Canned Apple Pie Filling,"['          Definitely need to fill the jars at least 1/3 full with the sauce first, then add the apples. Otherwise the sauce does not go down to the bottom. ', ""           Love the recipe,  quick and easy.  Taste great. My only thing is I have so much liquid,  don't look like it will fill a pie shell. What should I do next time? "", '          Fast and easy to make. The apple pie filling is so good I can eat it out of the jar. I will use this recipe from now on! I did not use food color or lemon juice. ', ""          I've been making this for years. Here's a tip. Divide sauce equally between 7 quart jars, then add sliced apples and push from top down until full. Much less messy. "", '          Love it! I used clear gel instead of cornstarch , came out amazing!! ', ""           I've made lots of different apple pie fillings, but this was by far my favorite. It turned out beautiful and SO yummy! I doubled the amount of cinnamon and nutmeg, but followed everything else as written. I already can't wait to whip up another batch for gifts. Thanks! "", ""          I didn't pre-congeal the syrup as it became virtually impossible to get into the jar around the apples.  It will boil up in the jar as it cans anyway, so I am conducting an experiment.  I got 100# of Honey Crisps, so anything that makes this more efficient will be GREAT. "", '           I love this recipe!  I doubled the spices as suggested by other reviewers though, and my house smells like Autumn. ', '          I liked the recipe. The filling is tasty. This also freezes quite good. I have had a jar that did not seal. Instead of reprocessing the jar, I put the filling in a quart freezer bag and froze it and it tasted the same as the stuff in the jars. ']"
Easy Apple Pie,"['          I was very unhappy with the outcome of this pie. It ended up extremely watery. ', '          I did not make any changes. This is a definite keeper. ', '          no changes it came out perfect ', '          Followed the recipe.  Yummy! ', '          added brown sugar and vanilla came out great! ', '          Really simple to make, apples still crisp ', '           Instead of using store bought crust I did make it at home but it still tasted delicious ', '          No I have not made any changes. Except we used margirin. We love the recipe ', '          Made  as printed YUMMY ']"
Apple Crumb Pie,"['           Rock-solid recipe. Followed it closely, but also added crushed pecans and in the second one, a small box of raisins, too. Tossed in a shake of ground clove to the apple coating. I used Gala apples that were just a bit too soft for eating, IMO. Keebler shortbread crust. ', '          This pie tasted great, however the crumb is soggy after the first day, so I probably won’t be making it again. I liked that the apples were sliced thinly so that they were cooked thru and softened, rather than just cutting the apple into 8ths. I did add an extra tablespoon of flour to make the sauce thicker. That was a good idea. ', '           This was awesome, the crumbles came out just right, the filling was not runny, and it was perfectly sweet, not overly sweet at all.  I made this exactly as written except I used Vegan butter instead of real butter.  Since I am not an experienced pie maker I took other reviews advice and used 6 medium Cosmic Crisp apples and I ended up- with way too much filling.  I only had one crust so I just made a crumble in a 2nd pie dish.  Even so, there was enough crumble for both pies.  Thanks so much for the recipe! ', ""           The recipe turned out really great I prefer no nuts in mine it was really easy to make and it's absolutely beautiful. "", '          Yummo!  Came out perfect the 1st time.', ""          I did make this pie but was very disappointed in what was supposed to be the crumb part. The crumb didn't come out the same way that it has in my past. "", '          It turned out okay but needed to cook way longer than 25 minutes and not a lot of topping ', '          This turned out to be one of the best apple pies I’ve ever made!  Thank you for sharing such a great recipe! ', '          Easy to make and delicious. ']"
Caramel Apples,"[""          It's the easiest "", '          I made 50 caramel apples for an event. I was able to find very fresh Honeycrisp apples that were also fairly small. I used 8 lbs of caramels and about 1/2 cup of milk (maybe a bit more). This was very easy (except for the time involved in unwrapping 8 lbs of caramels!). I kept the melted caramel warm in a crockpot (I left the caramel in the measuring cup) and just popped the caramel back in the microwave for 10 second or so if it got too thick. Definitely freeze the apples first and take the advice to dip the apples in boiling water before freezing to remove the wax. These were a big hit and several people said they were the best caramel apples they had ever eaten! ', ""           Best caramel apples we've ever made!  Followed the recipe and forgot to add the vanilla this time.  Still turned out great. "", '          Very simple and fun to make.  I made the mistake of putting the apples in the freezer overnight then putting the caramel and toppings on the next day.  They were so soggy when we ate them.  Definitely going to be refrigerating them only 15 min beforehand. ', '          Awesome. Extremely easy tastes great ', '          Tips from reviews:', '           Worked great! ', '          Even after refrigerating it for 10 minutes (as some other users suggested), it was still super gooey and the caramel layer was thin because it was so gooey. I won’t be making this recipe again.. ', '          sound  good ']"
German Apple Cake,"['          This was absolutely delicious... I used a stick of butter instead of the oil and a white cake mix. It turned out awesome. Will be making this for Easter dinner this year. Thank you. ', '          We made several changes and swaps due to what was on hand and personal preference- 1 1/2c sugar, 4c frozen blueberries instead of apples, tablespoon of dried lavender instead of cinnamon, melted butter instead of oil. It was more like a cookie dough than cake batter and baked closer to an hour (guessing because blueberries are juicier than apples) but came out amazing ', '          Absolutely delicious! Super sweet and cinnamon-y! Very moist inside and slightly crunchy on top! Yum!!! ', '          German Apple Cake is the most insanely delicious dessert, also a great treat for breakfast, or cut into snack cake squares. My mom made it every fall when I was little and my friends started to beg her for it every September. Here are some important adjustments to this recipe—Use 2.5 cups all purpose flour instead of 2 cups. Also, add 2 tsp baking powder along with the 1 tsp baking soda. This should fix the “oily sloppy mess” issues and will balance the sugar. Use peeled Granny Smith apples even if you don’t like them. They become sweeter as they cook but hold on to just enough tartness to balance the 2 cups of sugar in the recipe. I also add 1 cup walnuts. The batter will be VERY thick & should give you a nice arm workout as you stir it. The secret ingredient that perfects this cake—sprinkle a bag of butterscotch chips over the cake before baking. The little hint of butterscotch & the added texture of the chips are the secret that makes this cake famous! Baking temp/time—I cook on 325 for 55-60 mins, sometimes longer. Cover with tin foil as soon as edges start browning, for me it’s always about 30-40 mins in. The bottom will burn with a cheap or thin pan, so if you have a thin pan that isn’t high quality, place tin foil on oven rack under the pan so it won’t burn. Sometimes it can take longer than 1 hour if your pan is glass or thick material, so be patient. It will seem like it’ll never be done, but stick a knife in the middle & as soon as it comes out without thick “raw batter” on it, it’s done (some moist residue on the knife is ok). Good luck everyone! ', '           Turned out great, but I did modify slightly. Macintosh apples are the gold standard. 1 1/2 cups of sugar instead of 2. 6-8 cups of Macintosh apples. You can’t go wrong with more apples if you can fold them into this very thick batter. It does take some elbow grease. ', ""          The cake itself is very good.  I used half white and half brown sugar and used 3/4 cup of each rather than a whole cup.  I made it with the cream cheese frosting.  The extremely sweet cream cheese frosting overpowered the taste of the cake so I would up scraping a lot of the icing off the cake.   I'll ake it again but with a different frosting. "", ""          I make this cake several times a year, but I frost it with a cream cheese frosting.  I slice the apples, thinly. Don't use chunks. I use 2 tbsps. cinnamon, not tsps.  Hand grease the pan with softened butter. And I add chopped walnuts, too. Always use Granny Smith apples. "", '          I tried this recipe today and it was a total disaster. Although it was followed precisely, the „apple cake“ turned into a soggy mess, was far too sweet and left an oily residue on the plate. I would not do this cake again. ', '          Very easy to make.  Baked well and tastes delicious!!! ']"
